n,sigma,m,mean,stdev,repetitions
128,0.5,141,0.5015625,0.0483870705225,20
128,0.5,512,0.536328125,0.0451015428774,20
128,0.5,2048,0.569140625,0.056944229415,20
128,0.25,141,0.521875,0.0489514068682,20
128,0.25,512,0.555859375,0.0439361969713,20
128,0.25,2048,0.626171875,0.034523383578,20
128,0.125,141,0.52734375,0.0425404793439,20
128,0.125,512,0.6109375,0.04071504444,20
128,0.125,2048,0.73515625,0.0495277995644,20
128,0.0625,141,0.541796875,0.0357395191968,20
128,0.0625,512,0.725390625,0.044074895752,20
128,0.0625,2048,0.908203125,0.0306460187756,20
128,0.03125,141,0.589453125,0.0404046759893,20
128,0.03125,512,0.896484375,0.0343994053989,20
128,0.03125,2048,0.9984375,0.003125,20
128,0.015625,141,0.660546875,0.0650117834121,20
128,0.015625,512,0.99375,0.00681077959928,20
128,0.015625,2048,1.0,0.0,20
512,0.5,564,0.5048828125,0.0224269443856,20
512,0.5,2048,0.515234375,0.0185659916224,20
512,0.5,8192,0.53349609375,0.0226029393673,20
512,0.25,564,0.50595703125,0.0206003770368,20
512,0.25,2048,0.52939453125,0.0200941824622,20
512,0.25,8192,0.55546875,0.0220486965495,20
512,0.125,564,0.51748046875,0.0265472368257,20
512,0.125,2048,0.55712890625,0.0193337179124,20
512,0.125,8192,0.6326171875,0.026020580656,20
512,0.0625,564,0.5283203125,0.0240282007473,20
512,0.0625,2048,0.61845703125,0.0195924334654,20
512,0.0625,8192,0.75078125,0.0223152544475,20
512,0.03125,564,0.54453125,0.024492841648,20
512,0.03125,2048,0.73447265625,0.0234332271496,20
512,0.03125,8192,0.91767578125,0.0138420629571,20
512,0.015625,564,0.578515625,0.0271378970096,20
512,0.015625,2048,0.88681640625,0.0100443618977,20
512,0.015625,8192,0.9962890625,0.0019433348381,20
512,0.0078125,564,0.6767578125,0.0242022057907,20
512,0.0078125,2048,0.9931640625,0.00341098617121,20
512,0.0078125,8192,1.0,0.0,20
2048,0.5,2253,0.496704101562,0.008296292157,20
2048,0.5,8192,0.5087890625,0.0126520446572,20
2048,0.5,32768,0.516259765625,0.01151567618,20
2048,0.25,2253,0.503173828125,0.00977965301054,20
2048,0.25,8192,0.518920898438,0.00984692113751,20
2048,0.25,32768,0.53310546875,0.0101082474376,20
2048,0.125,2253,0.5029296875,0.0112580334273,20
2048,0.125,8192,0.5283203125,0.0097043979074,20
2048,0.125,32768,0.569140625,0.0131395749501,20
2048,0.0625,2253,0.50791015625,0.0140227710279,20
2048,0.0625,8192,0.56064453125,0.011851864413,20
2048,0.0625,32768,0.630615234375,0.0132777489928,20
2048,0.03125,2253,0.52294921875,0.00901801404587,20
2048,0.03125,8192,0.621997070312,0.00867888158976,20
2048,0.03125,32768,0.75458984375,0.0076137437127,20
2048,0.015625,2253,0.546044921875,0.00999021528285,20
2048,0.015625,8192,0.733862304688,0.0112691197576,20
2048,0.015625,32768,0.9146484375,0.00606255788874,20
2048,0.0078125,2253,0.587719726563,0.0123268291532,20
2048,0.0078125,8192,0.890307617187,0.00707127517132,20
2048,0.0078125,32768,0.99658203125,0.00135492548101,20
2048,0.00390625,2253,0.6689453125,0.0149465115869,20
2048,0.00390625,8192,0.993237304688,0.00145893175472,20
2048,0.00390625,32768,1.0,0.0,20
8192,0.5,9012,0.500891113281,0.00352529678854,20
8192,0.5,32768,0.501196289063,0.00500035523106,20
8192,0.5,131072,,,0
8192,0.25,9012,0.501538085938,0.00582691100212,20
8192,0.25,32768,0.508874511719,0.00533799114335,20
8192,0.25,131072,,,0
8192,0.125,9012,0.502062988281,0.0069307455741,20
8192,0.125,32768,0.515789794922,0.00464080360018,20
8192,0.125,131072,,,0
8192,0.0625,9012,0.505047607422,0.00520559040004,20
8192,0.0625,32768,0.528063964844,0.00627551829793,20
8192,0.0625,131072,,,0
8192,0.03125,9012,0.511138916016,0.00483263941078,20
8192,0.03125,32768,0.559039306641,0.00505469492303,20
8192,0.03125,131072,,,0
8192,0.015625,9012,0.522662353516,0.00524707491882,20
